ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
273,606-8144,京都府,キョウトフ,京都市左京区,キョウトシサキョウク,一乗寺堂ノ前町,イチジョウジドウノマエチョウ
274,604-0975,京都府,キョウトフ,京都市中京区,キョウトシナカギョウク,菊屋町,キクヤチョウ
275,605-0877,京都府,キョウトフ,京都市東山区,キョウトシヒガシヤマク,上新シ町,カミアタラシチョウ
276,600-8343,京都府,キョウトフ,京都市下京区,キョウトシシモギョウク,植松町,ウエマツチョウ
277,601-8125,京都府,キョウトフ,京都市南区,キョウトシミナミク,上鳥羽花名,カミトバハナナ
278,616-8162,京都府,キョウトフ,京都市右京区,キョウトシウキョウク,太秦蜂岡町,ウズマサハチオカチョウ
279,612-8071,京都府,キョウトフ,京都市伏見区,キョウトシフシミク,鍛冶屋町,カジヤマチ
280,607-8082,京都府,キョウトフ,京都市山科区,キョウトシヤマシナク,竹鼻扇町,タケハナオウギチョウ
281,556-8666,大阪府,オオサカフ,大阪市浪速区,オオサカシナニワク,湊町,ミナトマチ
282,533-0012,大阪府,オオサカフ,大阪市東淀川区,オオサカシヒガシヨドガワク,大道南,ダイドウミナミ
283,537-0012,大阪府,オオサカフ,大阪市東成区,オオサカシヒガシナリク,大今里,オオイマザト
284,535-0022,大阪府,オオサカフ,大阪市旭区,オオサカシアサヒク,新森,シンモリ
285,536-8686,大阪府,オオサカフ,大阪市城東区,オオサカシジョウトウク,今福西,イマフクニシ
286,558-0047,大阪府,オオサカフ,大阪市住吉区,オオサカシスミヨシク,千躰,センタイ
287,546-0003,大阪府,オオサカフ,大阪市東住吉区,オオサカシヒガシスミヨシク,今川,イマガワ
288,557-0024,大阪府,オオサカフ,大阪市西成区,オオサカシニシナリク,出城,デシロ
289,532-0025,大阪府,オオサカフ,大阪市淀川区,オオサカシヨドガワク,新北野,シンキタノ
290,559-8560,大阪府,オオサカフ,大阪市住之江区,オオサカシスミノエク,新北島,シンキタジマ
291,655-0048,兵庫県,ヒョウゴケン,神戸市垂水区,コウベシタルミク,西舞子,ニシマイコ
292,651-1604,兵庫県,ヒョウゴケン,神戸市北区,コウベシキタク,淡河町勝雄,オウゴチョウカツオ
293,650-0034,兵庫県,ヒョウゴケン,神戸市中央区,コウベシチュウオウク,京町,キョウマチ
294,651-2112,兵庫県,ヒョウゴケン,神戸市西区,コウベシニシク,大津和,オオツワ
